Ref,Val,Package,PosX,PosY,Rot,Side
"C8","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",120.000000,-78.250000,0.000000,bottom
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",109.500000,-74.750000,-90.000000,bottom
"U1","UA78M33QDCYRG4Q1","SOT-223-3_TabPin2",120.000000,-71.750000,90.000000,bottom
"U7","AS5047D","TSSOP-14_4.4x5mm_P0.65mm",105.000000,-73.750000,0.000000,bottom
